IBGE,IBGE6,CIDADE,ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,MACRORREGIAO,PARTIDO PREFEITOS,POSTOS,mae_s_instru,mae_inst_1_8_anos,mae_inst_8_11_anos,mae_inst_12m_anos,pop_urb(%)
4304002.0,430400.0,CAMPO NOVO,2012,96.551724137931,31.0344827586207,117.241379310345,113.793103448276,125.862068965517,125.862068965517,101.724137931034,0.703,0.677,0.593,0.866,220.719,57749.2,22.54,4975,Missioneira,,2,,31,26,10,80.5
4304101.0,430410.0,CAMPOS BORGES,2012,166.666666666667,48.1481481481481,188.888888888889,100.0,85.1851851851852,125.925925925926,166.666666666667,0.708,0.704,0.616,0.819,226.202,29067.3,15.97,3613,Norte,,1,,,15,12,61.2
4304200.0,430420.0,CANDELÁRIA,2012,86.9186046511628,25.5813953488372,81.6860465116279,92.1511627906977,89.5348837209302,86.3372093023256,89.5348837209302,0.674,0.699,0.521,0.842,944.735,42713.51,30.60,28906,Vales,,4,,182,122,23,56.5
4304309.0,430430.0,CÂNDIDO GODÓI,2012,61.9047619047619,22.2222222222222,66.6666666666667,69.8412698412698,74.6031746031746,63.4920634920635,74.6031746031746,0.728,0.72,0.627,0.853,247.047,59583.99,25.48,6294,Missioneira,,2,,,31,8,35.7
4304358.0,430435.0,CANDIOTA,2012,0.0,30.0,78.5714285714286,85.0,80.7142857142857,82.8571428571429,82.8571428571429,0.698,0.704,0.562,0.86,933.628,158672.67,11.47,10710,Sul,,3,,42,83,9,77.9
4304408.0,430440.0,CANELA,2012,107.513416815742,42.5760286225402,97.4955277280859,107.513416815742,105.187835420394,103.935599284436,105.724508050089,0.748,0.738,0.667,0.849,253.002,40038.38,193.46,48946,Serra,,6,,152,360,100,96.9
4304507.0,430450.0,CANGUÇU,2012,97.2273567467653,33.641404805915,87.2458410351202,92.7911275415896,90.2033271719039,88.724584103512,80.7763401109057,0.65,0.683,0.491,0.819,3526.316,36745.73,14.09,49680,Sul,,4,,219,284,67,41.9
4304606.0,430460.0,CANOAS,2012,116.863655550865,43.3727311101731,87.821865766146,98.1637821865766,91.0932883073027,95.5677501055298,99.2401857323765,0.75,0.768,0.636,0.864,130.774,83895.04,2658.15,347657,Metropolitana,,13,2,1217,2972,933,100.0
4304614.0,430461.0,CANUDOS DO VALE,2012,36.8421052631579,,63.1578947368421,47.3684210526316,47.3684210526316,36.8421052631579,52.6315789473684,0.713,0.751,0.574,0.84,82.943,40430.4,19.97,1656,Vales,,1,,,,,26.2
4304622.0,430462.0,CAPÃO BONITO DO SUL,2012,0.0,133.333333333333,216.666666666667,200.0,183.333333333333,266.666666666667,233.333333333333,0.637,0.654,0.507,0.779,526.850,128719.49,3.29,1733,Norte,,,,,,,23.7
4304630.0,430463.0,CAPÃO DA CANOA,2012,124.263674614306,38.8499298737728,79.6633941093969,96.0729312762973,90.3225806451613,97.054698457223,92.2861150070126,0.743,0.756,0.637,0.852,98.383,40698.19,646.39,63594,Metropolitana,,3,,195,428,108,98.9
4304655.0,430465.0,CAPÃO DO CIPÓ,2012,7.31707317073171,21.9512195121951,51.219512195122,60.9756097560976,75.609756097561,78.0487804878049,70.7317073170732,0.672,0.639,0.552,0.86,1007.796,70575.7,3.09,3119,Centro-Oeste,,,,,,,31.4
4304663.0,430466.0,CAPÃO DO LEÃO,2012,12.3287671232877,32.8767123287671,82.5342465753425,107.534246575342,81.8493150684932,87.6712328767123,94.1780821917808,0.637,0.662,0.48,0.814,783.196,32243.04,33.82,26487,Sul,,,,152,123,17,94.1
4304671.0,430467.0,CAPIVARI DO SUL,2012,119.354838709677,64.5161290322581,145.161290322581,183.870967741935,177.41935483871,164.516129032258,164.516129032258,0.766,0.805,0.668,0.836,412.889,100076.38,9.67,3991,Metropolitana,,1,,14,24,,87.3
4304689.0,430468.0,CAPELA DE SANTANA,2012,88.1889763779528,51.1811023622047,85.8267716535433,71.6535433070866,67.7165354330709,62.2047244094488,97.6377952755905,0.661,0.675,0.525,0.816,182.756,28313.22,61.06,11159,Metropolitana,,3,,63,46,14,69.7
4304697.0,430469.0,CAPITÃO,2012,129.032258064516,35.4838709677419,109.677419354839,129.032258064516,109.677419354839,109.677419354839,112.903225806452,0.746,0.747,0.661,0.842,73.967,30321.42,39.49,2921,Vales,,1,,9,21,,44.9
4304705.0,430470.0,CARAZINHO,2012,99.3252361673414,53.0364372469636,90.0134952766532,100.404858299595,93.2523616734143,92.442645074224,108.502024291498,0.766,0.756,0.707,0.84,666.694,60594.24,92.70,61804,Norte,,13,,163,504,154,97.7
4304713.0,430471.0,CARAÁ,2012,6.97674418604651,4.65116279069767,51.1627906976744,44.1860465116279,46.5116279069767,53.4883720930233,37.2093023255814,0.652,0.661,0.505,0.83,294.606,21392.26,25.10,7394,Metropolitana,,,,19,16,,27.8
4304804.0,430480.0,CARLOS BARBOSA,2012,89.6797153024911,49.1103202846975,83.9857651245552,88.6120996441281,87.1886120996441,84.3416370106762,89.3238434163701,0.796,0.835,0.724,0.835,230.061,125413.55,132.23,30420,Serra,,3,,43,138,72,80.4
4304853.0,430485.0,CARLOS GOMES,2012,69.2307692307692,23.0769230769231,38.4615384615385,92.3076923076923,69.2307692307692,61.5384615384615,92.3076923076923,0.739,0.732,0.622,0.886,83.196,45281.03,16.45,1368,Norte,,1,,,4,,31.6
4304903.0,430490.0,CASCA,2012,100.0,38.9830508474576,122.033898305085,123.728813559322,101.694915254237,111.864406779661,122.033898305085,0.785,0.778,0.733,0.847,272.041,92546.14,34.79,9465,Norte,,2,,,38,23,68.9
4304952.0,430495.0,CASEIROS,2012,129.411764705882,41.1764705882353,152.941176470588,141.176470588235,135.294117647059,111.764705882353,123.529411764706,0.703,0.696,0.6,0.833,235.649,59052.73,12.72,3000,Norte,,,,5,6,,52.8
4305009.0,430500.0,CATUÍPE,2012,118.181818181818,4.54545454545455,90.9090909090909,97.7272727272727,102.272727272727,102.272727272727,98.8636363636364,0.739,0.763,0.627,0.842,583.180,49000,14.87,8674,Missioneira,,3,,30,42,25,70.5
4305108.0,430510.0,CAXIAS DO SUL,2012,104.794867465811,48.1006246834374,95.829815971636,103.900050650008,100.658450109742,99.3921998987,104.609150768192,0.782,0.812,0.686,0.86,1652.320,81683.97,280.52,463501,Serra,,50,3,1925,2701,1542,96.5
4305116.0,430511.0,CENTENÁRIO,2012,59.0909090909091,22.7272727272727,63.6363636363636,100.0,72.7272727272727,77.2727272727273,72.7272727272727,0.701,0.707,0.569,0.856,134.780,45215.19,20.27,2721,Norte,,1,,,7,,43.7
4305124.0,430512.0,CERRITO,2012,14.7058823529412,42.6470588235294,79.4117647058823,72.0588235294118,86.7647058823529,91.1764705882353,80.8823529411765,0.649,0.657,0.504,0.824,451.699,22583.64,12.86,5808,Sul,,1,,20,30,,62.0
4305132.0,430513.0,CERRO BRANCO,2012,81.8181818181818,18.1818181818182,70.4545454545455,59.0909090909091,59.0909090909091,54.5454545454545,54.5454545454545,0.661,0.671,0.527,0.816,158.025,27411.89,24.06,3802,Vales,,2,,16,16,3,31.1
4305157.0,430515.0,CERRO GRANDE,2012,89.6551724137931,27.5862068965517,89.6551724137931,93.1034482758621,96.551724137931,86.2068965517241,106.896551724138,0.674,0.676,0.563,0.803,73.438,26035.36,32.39,2379,Norte,,1,,14,11,,48.7
