ç
"Município","ibge","latitude","longitude","Especial Censo 2022/População/Situação do domicílio/Percentual de População Urbana 2022 (%)"
"Nova Bréscia","4313003","-29,216511000000","-52,017984000000","50,3"
"Nova Candelária","4313011","-27,612098000000","-54,104114000000","42,9"
"Nova Esperança do Sul","4313037","-29,404596000000","-54,835873000000","81,5"
"Nova Hartz","4313060","-29,585748000000","-50,903793000000","90,4"
"Nova Pádua","4313086","-29,030046000000","-51,306825000000","34,5"
"Nova Palma","4313102","-29,473026000000","-53,470635000000","62,1"
"Nova Petrópolis","4313201","-29,376209000000","-51,106954000000","76,7"
"Nova Prata","4313300","-28,783945000000","-51,608996000000","84,3"
"Nova Ramada","4313334","-28,082645000000","-53,706937000000","32,8"
"Nova Roma do Sul","4313359","-28,984749000000","-51,405157000000","48,8"
"Nova Santa Rita","4313375","-29,848616000000","-51,275211000000","89,6"
"Novo Barreiro","4313490","-27,906788000000","-53,113499000000","47,4"
"Novo Cabrais","4313391","-29,736255000000","-52,955086000000","16,1"
"Novo Hamburgo","4313409","-29,686326000000","-51,128605000000","97,6"
"Novo Machado","4313425","-27,578401000000","-54,503384000000","50,3"
"Novo Tiradentes","4313441","-27,563558000000","-53,185703000000","40,9"
"Novo Xingu","4313466","-27,748115000000","-53,064109000000","47,8"
"Osório","4313508","-29,892697000000","-50,266798000000","92,4"
"Paim Filho","4313607","-27,703308000000","-51,761597000000","58,6"
"Palmares do Sul","4313656","-30,260067000000","-50,506052000000","92,9"
"Palmeira das Missões","4313706","-27,900621000000","-53,314954000000","89,6"
"Palmitinho","4313805","-27,356020000000","-53,555546000000","56,0"
"Panambi","4313904","-28,292731000000","-53,500265000000","92,6"
"Pantano Grande","4313953","-30,194552000000","-52,373900000000","86,1"
"Paraí","4314001","-28,599621000000","-51,782096000000","64,9"
"Paraíso do Sul","4314027","-29,731314000000","-53,179100000000","45,7"
"Pareci Novo","4314035","-29,639389000000","-51,398870000000","30,0"
"Parobé","4314050","-29,631749000000","-50,834866000000","95,9"
"Passa Sete","4314068","-29,451666000000","-52,963983000000","13,9"
"Passo do Sobrado","4314076","-29,745794000000","-52,278758000000","27,5"
"Passo Fundo","4314100","-28,261767000000","-52,407095000000","98,3"
"Paulo Bento","4314134","-27,704100000000","-52,422436000000","37,6"
"Paverama","4314159","-29,554856000000","-51,730293000000","57,8"
"Pedras Altas","4314175","-31,733637000000","-53,587170000000","35,3"
"Pedro Osório","4314209","-31,863828000000","-52,826312000000","94,1"
"Pejuçara","4314308","-28,421586000000","-53,656542000000","70,3"
"Pelotas","4314407","-31,719598000000","-52,344320000000","93,9"
"Picada Café","4314423","-29,454384000000","-51,064050000000","69,5"
"Pinhal","4314456","-27,511674000000","-53,214706000000","51,3"
