ANO,BCG,PENTA,ROTA,MENINGOC,PNEUMO,POLIO,HEPB,IDHM,IDHM Renda,IDHM Educação,IDHM Longevidade,AREA_TERRITORIAL,PIB_PERCAPTA,DENSIDADE_DEMOGRAFICA,POPULACAO,POSTOS,mae_escolaridade_ens_medio,pop_urb(%),MACRORREGIAO_INT,PARTIDO PREFEITOS_INT
2020.0,55.9503105590062,126.9759485926655,106.52777786111112,122.08333358333336,110.44448509237219,118.518518518519,126.923076923077,0.743,0.717,0.662,0.849,7800.552,45625.31,19.46,62543.0,33.0,428.5,90.5,5.0,2.0
2021.0,85.50685425685425,87.0967741935484,95.51910361977174,87.1754878072813,87.8787878787879,96.50389086358356,87.06016311118384,0.743,0.717,0.662,0.849,7800.552,45625.31,19.46,62543.0,33.0,428.5,90.5,5.0,2.0
2022.0,75.70932556349206,87.0967741935484,95.51910361977174,99.00087270830306,98.8532110091743,85.2941176470588,87.06016311118384,0.743,0.717,0.662,0.849,7800.552,45625.31,19.46,62543.0,33.0,428.5,90.5,5.0,2.0
2023.0,166.18882275132276,87.0967741935484,84.83330327080324,110.480549199085,87.8787878787879,85.2941176470588,87.06016311118384,0.743,0.717,0.662,0.849,7800.552,45625.31,19.46,62543.0,33.0,428.5,90.5,5.0,2.0
2024.0,104.98348072307598,100.0,95.51910361977174,99.00087270830306,98.8532110091743,96.50389086358356,100.0,0.743,0.717,0.662,0.849,7800.552,45625.31,19.46,62543.0,33.0,428.5,90.5,5.0,2.0
2020.0,85.50685425685425,113.513513513514,117.6653439153439,110.480549199085,121.38558201058203,107.70655270655271,113.4063143817545,0.697,0.717,0.576,0.817,144.181,36271.065,19.46,4704.0,98.0,34.0,46.7,2.0,2.0
2021.0,55.9503105590062,74.6815286624204,73.6418511066398,76.271186440678,76.1904761904762,74.2857142857143,74.6913580246914,0.697,0.717,0.576,0.817,144.181,36271.065,19.46,4704.0,98.0,34.0,46.7,2.0,2.0
2022.0,135.64380064380063,113.513513513514,95.51910361977174,99.00087270830306,98.8532110091743,85.2941176470588,87.06016311118384,0.697,0.717,0.576,0.817,144.181,36271.065,19.46,4704.0,98.0,34.0,46.7,2.0,2.0
2023.0,145.2422175777439,193.333333333333,206.1069023569024,203.25396825396825,200.0,197.5049603174603,193.8074194324195,0.697,0.717,0.576,0.817,144.181,36271.065,19.46,4704.0,98.0,34.0,46.7,2.0,2.0
2024.0,125.0,126.9759485926655,117.6653439153439,133.5763890138889,121.38558201058203,118.518518518519,126.923076923077,0.697,0.717,0.576,0.817,144.181,36271.065,19.46,4704.0,98.0,34.0,46.7,2.0,2.0
2020.0,75.70932556349206,87.0967741935484,73.6418511066398,76.271186440678,76.1904761904762,85.2941176470588,87.06016311118384,0.743,0.734,0.676,0.828,144.181,110772.2,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2021.0,85.50685425685425,74.6815286624204,106.52777786111112,110.480549199085,110.44448509237219,118.518518518519,113.4063143817545,0.743,0.734,0.676,0.828,144.181,110772.2,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2022.0,145.2422175777439,126.9759485926655,106.52777786111112,110.480549199085,110.44448509237219,107.70655270655271,113.4063143817545,0.743,0.734,0.676,0.828,144.181,110772.2,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2023.0,75.70932556349206,126.9759485926655,161.63690480357144,180.8234127400794,155.263157894737,131.21597458391912,126.923076923077,0.743,0.734,0.676,0.828,144.181,110772.2,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2024.0,95.83333345833333,166.666666666667,172.91666670833334,145.45454554545452,167.60912698412704,164.28571436904764,166.666666666667,0.743,0.734,0.676,0.828,144.181,110772.2,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2020.0,75.70932556349206,87.0967741935484,84.83330327080324,87.1754878072813,87.8787878787879,85.2941176470588,87.06016311118384,0.667,0.7,0.548,0.7955000000000001,405.034,45625.31,19.46,4704.0,98.0,34.0,35.4,0.0,4.0
2021.0,104.98348072307598,154.36868691035355,84.83330327080324,87.1754878072813,87.8787878787879,85.2941176470588,87.06016311118384,0.667,0.7,0.548,0.7955000000000001,405.034,45625.31,19.46,4704.0,98.0,34.0,35.4,0.0,4.0
2022.0,75.70932556349206,87.0967741935484,84.83330327080324,87.1754878072813,87.8787878787879,85.2941176470588,87.06016311118384,0.667,0.7,0.548,0.7955000000000001,405.034,45625.31,19.46,4704.0,98.0,34.0,35.4,0.0,4.0
2023.0,95.83333345833333,87.0967741935484,95.51910361977174,99.00087270830306,98.8532110091743,96.50389086358356,87.06016311118384,0.667,0.7,0.548,0.7955000000000001,405.034,45625.31,19.46,4704.0,98.0,34.0,35.4,0.0,4.0
2024.0,85.50685425685425,100.0,95.51910361977174,87.1754878072813,98.8532110091743,96.50389086358356,100.0,0.667,0.7,0.548,0.7955000000000001,405.034,45625.31,19.46,4704.0,98.0,34.0,35.4,0.0,4.0
2020.0,35.1909184726522,100.0,95.51910361977174,122.08333358333336,87.8787878787879,96.50389086358356,100.0,0.743,0.761,0.646,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2021.0,95.83333345833333,113.513513513514,84.83330327080324,76.271186440678,87.8787878787879,63.3333333333333,74.6913580246914,0.743,0.761,0.646,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2022.0,75.70932556349206,74.6815286624204,117.6653439153439,122.08333358333336,110.44448509237219,118.518518518519,113.4063143817545,0.743,0.761,0.646,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2023.0,104.98348072307598,140.0,184.857142857143,169.20093795093794,192.5925925925926,164.28571436904764,140.0,0.743,0.761,0.646,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2024.0,85.50685425685425,113.513513513514,95.51910361977174,110.480549199085,98.8532110091743,107.70655270655271,113.4063143817545,0.743,0.761,0.646,0.86,144.181,36271.065,19.46,4704.0,98.0,34.0,50.3,0.0,7.0
2020.0,125.0,61.9047619047619,39.9399399399399,41.666667,41.66666704166666,53.125,61.77257512796453,0.734,0.743,0.606,0.886,144.181,68227.53,19.46,4704.0,98.0,34.0,35.4,4.0,8.0
2021.0,125.0,179.27158489658487,62.5,65.0,65.15151533333334,74.2857142857143,74.6913580246914,0.734,0.743,0.606,0.886,144.181,68227.53,19.46,4704.0,98.0,34.0,35.4,4.0,8.0
2022.0,35.1909184726522,61.9047619047619,117.6653439153439,156.38888897222222,121.38558201058203,131.21597458391912,126.923076923077,0.734,0.743,0.606,0.886,144.181,68227.53,19.46,4704.0,98.0,34.0,35.4,4.0,8.0
2023.0,125.0,113.513513513514,106.52777786111112,110.480549199085,121.38558201058203,118.518518518519,113.4063143817545,0.734,0.743,0.606,0.886,144.181,68227.53,19.46,4704.0,98.0,34.0,35.4,4.0,8.0
2024.0,114.53373015873015,61.9047619047619,106.52777786111112,110.480549199085,87.8787878787879,63.3333333333333,61.77257512796453,0.734,0.743,0.606,0.886,144.181,68227.53,19.46,4704.0,98.0,34.0,35.4,4.0,8.0
2020.0,114.53373015873015,113.513513513514,117.6653439153439,110.480549199085,110.44448509237219,107.70655270655271,113.4063143817545,0.697,0.692,0.563,0.8755,144.181,27276.97,2658.15,191900.0,55.0,1681.0,97.9,1.0,2.0
